failed_location,latitude,longitude,html
El-Giza : Morad street,,,<iframe src="https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1727.3477259562728!2d31.2132808!3d30.016899999999996!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x145847737a829695%3A0x8dc32f141a51ec4c!2z2LTYp9ix2Lkg2YXYsdin2K8!5e0!3m2!1sar!2seg!4v1757240831554!5m2!1sar!2seg" width="600" height="450" style="border:0;" allowfullscreen="" loading="lazy" referrerpolicy="no-referrer-when-downgrade"></iframe>
"Shoubra El-Kheima : 15 May, St.",,,<iframe src="https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3450.719695099333!2d31.288344900000006!3d30.1308334!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x1458151572df9631%3A0x16c8ab690f90fa33!2z2KfZhNiz2YPYqSDYp9mE2K3Yr9mK2K8!5e0!3m2!1sar!2seg!4v1757240869513!5m2!1sar!2seg" width="600" height="450" style="border:0;" allowfullscreen="" loading="lazy" referrerpolicy="no-referrer-when-downgrade"></iframe>
El-Zaitoun : Seliem El Awal,,,<iframe src="https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3451.39510176938!2d31.3160333!3d30.111505800000003!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x145815995c6ef711%3A0x1e8d573b2ab910cb!2z2LPZhNmK2YUg2KfZhNin2YjZhNiMINmF2K3Yp9mB2LjYqSDYp9mE2YLYp9mH2LHYqeKArA!5e0!3m2!1sar!2seg!4v1757240894230!5m2!1sar!2seg" width="600" height="450" style="border:0;" allowfullscreen="" loading="lazy" referrerpolicy="no-referrer-when-downgrade"></iframe>
El-Mohandessin : ahmed orabi,,,<iframe src="https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d13812.262422020915!2d31.21282303022462!3d30.06365390000001!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x1458413be80d13b1%3A0x8f9af092d1a82cfd!2z2KXZhdiq2YbYp9mG!5e0!3m2!1sar!2seg!4v1757240920313!5m2!1sar!2seg" width="600" height="450" style="border:0;" allowfullscreen="" loading="lazy" referrerpolicy="no-referrer-when-downgrade"></iframe>
El-Maadi : 77 Street Extension - Arab El Maadi,,,<iframe src="https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d110613.47087497641!2d31.326996641796867!3d29.960141600000007!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x1458472948c57b53%3A0x5eda8acbf95e54a4!2z2LnYsdioINin2YTZhdi52KfYr9mK!5e0!3m2!1sar!2seg!4v1757240953102!5m2!1sar!2seg" width="600" height="450" style="border:0;" allowfullscreen="" loading="lazy" referrerpolicy="no-referrer-when-downgrade"></iframe>
Faisal : faisal main street,,,<iframe src="https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d110613.47087497641!2d31.326996641796867!3d29.960141600000007!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x145846e8ec5db851%3A0x130d30d6096adf14!2z2YHZiti12YQ!5e0!3m2!1sar!2seg!4v1757240985778!5m2!1sar!2seg" width="600" height="450" style="border:0;" allowfullscreen="" loading="lazy" referrerpolicy="no-referrer-when-downgrade"></iframe>
Nasr City : Ahmed qasim branched from abbas elakaad,,,
"Sidy Bishr : 196 Gamal Abdelnasser st, - Beside Baba Sharo.",,,
Faisal : Huda Mosque Street,,,
Nasr City : metwally el shaarawy,,,
Faisal : gendia  mall _eltawabek,,,
El-Mansoura : gehan,,,
El-Zagazig : mahmoud hashem street-Kawmya,,,
El-Mansoura : salah salem street,,,
El-Dokki : Wezaret El Zeraa Street,,,
Faisal : 106 king fisal above ahli bank front of vodafone maryotya,,,
Sidy Bishr,,,
Hadayek El-Ahram : Fifth North Street after Menkaure Gate,,,
Shoubra : shikolany,,,
Assiut city : yousry ragheb extention,,,
El-Sayeda Zainab : A Elkasr Eleini,,,
Sidy Bishr : Alaman st. from sidi Beshr mosque st.,,,
"El-Zagazig : ,  El Obour Bridge extension",,,
Tanta : saeed with omar abd el3aziz,,,
El-Zagazig : next to sednawy hospital,,,
Hadayek El-Ahram : Gardenia Street,,,
Nasr City :  Mohamed Almakreif,,,
Madinaty : Medical Center,,,
Hadayek El-Ahram : elgish street,,,
El-Maadi : carrefour road,,,
Faisal : fisal street,,,
"Sidy Bishr : 41 Albekbashy Elesawy st., in front of the Computer Mall.",,,
El-Dokki : Tiba St from Gamaet Dwol,,,
"Heliopolis : Ahmed el Dardiry, Ard El Golf",,,
El-Manyal : Elmanial street,,,
Tanta : El-Geish St.  with Al-Galaa st. Al-Awkaf tower .,,,
6th of October : in front of wadi degla club,,,
Heliopolis : -behind Miliatry College,,,
El-Mansoura : Marinet Mubarak Madina Monawara st.,,,
El-Haram : Station Mashaal,,,
Hadayek El-Ahram : z,,,
El-Rehab : Medical Complex 1,,,
Heliopolis : hassan aflaton,,,
El-Mansoura : el gomhoria street,,,
El-Sheikh Zayed : twin tower -,,,
El-Obour City : 9th district,,,
Khamseen Street (Carrefour extension) - Zahraa AlMaadi,,,
"Ali Amin Street, Al Manteqah Al Oula",,,
El-Dokki : Tahrir Street-infront Of Asad Abn Elfourat mosque,,,
micheel bakhoum,,,
Miamy : gamal abdelnasser,,,
Aga : elgalaa street,,,
Moharam Bek : moharm bek st,,,
West El-Balad : kasr el neil st,,,
El-Mokattam : Middle Hadaba,,,
El-Mansoura :  hamza ebn abdelmotleb street,,,
El-Mansoura : abdo maarof street,,,
"Hurghada City : Mohamed Said St. (Metro), El Kawther",,,
El-Dokki : Mosdak Street,,,
Sporting : Ahmed Allam st from elHorya Road,,,
Fifth Settlement Medical Center,,,
El-Agamy : Goweida moftah street,,,
Heliopolis : Elmontazah St from ElHegaz St,,,
El-Giza : Hamadan,,,
6th of October : al mehwar al markzi,,,
El-Zagazig : tolba eweda street infront of salah salem hospital above lcwikiki,,,
El-Dokki : Musadak Street-Infront Of Dunkin Donuts,,,
Nasr City : Mostafa elnhas St,,,
El-Mohandessin : Alfawakh St,,,
Tanta : El-Geish st.  with Al- Galaa st.- Al-Awkaf  tower,,,
Hadayek El-Ahram : first entrance of first gate,,,
Hadayek El-Ahram : El Geish street,,,
El-Maadi : Al Nasr St. - Gazaer Square,,,
"El-Mokattam : Behinde pharmacy college MTI, AlHdba AlWosta",,,
Heliopolis : botrous ghaly street,,,
6th of October : Borie Plaza 1-Elhossary Square,,,
Imbaba : Elwahda street,,,
El-Zaitoun : Selim Elawal Street-Egypt Air Towers-Above Eltayaran Supermarket,,,
Nasr City : ahmad elzumor,,,
151 Street - Horreya Square,,,
Shibin El-Kom : hakma square,,,
north Teseen ST,,,
El-Zagazig : obour bridge next to sawaf restaurant,,,
El-Mansoura : 6 october street branched from ahmed maher street,,,
Nasr City : AbdElhamid awad,,,
El-Maadi : Elnasr Street,,,
West El-Balad : el tahreer street,,,
Faisal : Elatabaa Building Fasil Elnadii St,,,
El-Mansoura : el mahta square,,,
Faisal : khaled ibn waleed st,,,
Nasr City : mostafa elnahas,,,
north teseen street,,,
"El-Maadi : Sakr Quraysh, Al Bahs Al Genaea",,,
Janaklees,,,
El-Manyal : Almanial main Street,,,
El-Fayoum city : elmsla next to misr for insurance building next to city tower,,,
Shibin El-Kom : sharaf square dewan tower,,,
Banha : behind mohafza,,,
El-Zagazig : tolba eweda street,,,
El-Sayeda Zainab : Port Saeed Street,,,
West El-Balad : Mohamed farid - Abdein,,,
El-Mansoura : kanat el swiss st,,,
10th of Ramadan : Ordinia St.,,,
Nasr City : Mohamed Radwan ST _ Al Hay Al Asher,,,
New Cairo : abdallah ibn salama,,,
El-Maadi :  ElNasr,,,
El-Sheikh Zayed : Twin Towers-Elmehwar Elmarkazi,,,
El-Maadi : 4 street 100 from street 105 - Horria sq Maadi,,,
Faisal : king Faisal St -tamimi,,,
Bakos : Moastafa kamel,,,
Heliopolis : Triumph square (Nakhla moteey),,,
El-Matareya : Beet El Ezz 2 building - Matareya square - Building A - Third floor,,,
Heliopolis : Esmail Ramzy Street,,,
El-Zaitoun : salim el-Awal st.,,,
El-Mohandessin : Omar Toson,,,
El-Maadi : ElNasr,,,
Hadayek El-Kobba : Abdelgleel street from Ibn Sender,,,
El-Haram : Haram Street Nasr eldin Station,,,
Victoria : Gamal Abdelnaser,,,
El-Haram : 93 el haram street - beside city mall,,,
El-Haram : madkour,,,
El-Sheikh Zayed : Beverly Hills-gate 9,,,
Mahalla : El-shon,,,
Assiut city : Yusri Ragheb St.,,,
Nasr City : makram ebeid,,,
Banha : el safaa,,,
Nasr City : abo dawood zahry,,,
El-Mansoura : Al seka algdeda,,,
Imbaba : Main wehda street,,,
"Ain Shams : 70 Khaled Ebn El Waleed st., From Mostafa Hafez st., Beside Zaher, Guesr El Suez st., In front of El Shams club",,,
Faisal : hassan mohamed station-Feisal,,,
Shibin El-Kom : Abo Bakr Elsedeek,,,
Hadayek El-Ahram : 2nd gate khafra,,,
El-Manyal : Saeed Tho Al fakar Street - branched from El basha square,,,
6th of October : El Mehwar El Markazy,,,
"El-Rehab : Rehab , medical centre 2 , clinic 109",,,
El-Sheikh Zayed : Twin Towers,,,
Nasr City :  ahmed el zomor,,,
"El-Agamy : Kilometer 21 square,",,,
Nasr City : Mostafa nhas St,,,
El-Mokattam : 9 S.t,,,
"Sporting : Port Saeid St.,",,,
6th of October : omrania tanua,,,
West El-Balad :  Mohamed farid,,,
El-Agamy : Alrxandria- matrouh road,,,
Heliopolis : bagdad st.,,,
Nasr City : mostafa el nahhas street,,,
El-Zagazig : vilal gamaa street next to madina mosque,,,
El-Mohandessin :  shehab street,,,
El-Maadi :  El Horya Square,,,
El-Mansoura : Hussein bek street in front of family regulation office,,,
El-Rehab : el sadat axis-The corner mall,,,
trablous,,,
Shoubra El-Kheima : ElSharea ElGded,,,
Shoubra El-Kheima : 15 may street across the new street,,,
Nasr City : Gafar Elsadek st branched from eltayaran,,,
Faisal : king  Faisal taawon,,,
Shoubra : 15 may street,,,
El-Mansheyah : Hamam El Warsha,,,
El-Haram :  Abo emera street,,,
Shoubra El-Kheima : 15 mayo" ElshareEl gedidi ",,,
Hadayek El-Kobba : Masr El-Soadan,,,
El-Maadi : algazerr,,,
El-Abbasia : Abdou Pacha Sq.,,,
6th of October : the central axis,,,
El-Mandara : Mohamed Hassanin Hiekel,,,
Sidy Gaber : Elhoreia,,,
El-Sheikh Zayed : Medical Hub Center-Khameal City-Gate 2-Infront of Hyperone,,,
El-Marg : Ahmed sediq,,,
Sidy Gaber : Portsaif,,,
El-Haram : Terat Al Zomir Street,,,
6th of October : elmahwar el markazi,,,
"El-Rehab : Medical center 2 ,  El Rehab City",,,
El-Haram : Naser althora,,,
El-Rehab : medical park elite next to city square,,,
6th of October : 71 fadan,,,
Heliopolis : abu bakr el sedeek saffir sqaure,,,
El-Ibrahimia : abokeir road,,,
"8th district, Above Ragab's Sons s market - mall five stars 2 new floor",,,
Nasr City : ahmed elzomr,,,
Nasr City : Abu Dawood Al-Zahery,,,
Ain Shams : Seha street,,,
Hadayek El-Ahram : zen,,,
New Cairo : North,,,
